epoch,Wout_1,Wout_2,Wout_3,Wout_4,Wout_5,Wout_6,Wout_7,Wout_8,Wout_9,Wout_10,bout_1,training_acc,testing_acc
0,0.5144835114479065,-0.2606024146080017,-0.28552284836769104,-0.6355955600738525,0.6113066077232361,-0.48673468828201294,-0.3199819326400757,-0.21230244636535645,0.06138265132904053,-0.6273872256278992,1.0,0.60280555,0.60831577
1,13.066254615783691,6.6344733238220215,4.157420635223389,3.1151742935180664,10.591500282287598,5.806186199188232,-14.790855407714844,3.100417137145996,-0.28184807300567627,-11.237435340881348,-9.92665958404541,0.93797225,0.938837
2,16.67531967163086,8.50440502166748,5.9411749839782715,5.825555324554443,12.977867126464844,6.070576190948486,-19.59963607788086,3.1909286975860596,0.08169611543416977,-11.552303314208984,-13.940794944763184,0.9435,0.9457668
3,19.242368698120117,9.692667961120605,7.107695579528809,7.673711776733398,14.251188278198242,6.0784759521484375,-22.695510864257812,3.113334894180298,0.5039582848548889,-11.609947204589844,-16.596410751342773,0.9457222,0.94757456
4,21.284387588500977,10.565657615661621,7.991603374481201,9.07373332977295,15.02477741241455,6.065850257873535,-24.936004638671875,3.0223395824432373,0.8478853106498718,-11.686100959777832,-18.577383041381836,0.94680554,0.94727325
5,22.98876190185547,11.24916934967041,8.70924186706543,10.195998191833496,15.518980026245117,6.063122272491455,-26.651020050048828,2.943714141845703,1.1145273447036743,-11.788188934326172,-20.1536808013916,0.94766665,0.94697195
6,24.450702667236328,11.804308891296387,9.314804077148438,11.12890625,15.838366508483887,6.0705389976501465,-28.009002685546875,2.8807663917541504,1.3226213455200195,-11.903197288513184,-21.46050262451172,0.94775,0.94727325
7,25.727243423461914,12.26639461517334,9.838335037231445,11.924006462097168,16.040700912475586,6.0846452713012695,-29.108917236328125,2.8321332931518555,1.4884408712387085,-12.021846771240234,-22.57459831237793,0.9481389,0.94847846
8,26.855989456176758,12.658266067504883,10.298423767089844,12.614106178283691,16.16133689880371,6.1024675369262695,-30.01496124267578,2.7955563068389893,1.6236993074417114,-12.13876724243164,-23.543441772460938,0.94830555,0.94817716
9,27.86368179321289,12.995306015014648,10.707711219787598,13.221410751342773,16.222963333129883,6.121979236602783,-30.770261764526367,2.7688870429992676,1.7364497184753418,-12.251317977905273,-24.398624420166016,0.9486389,0.94817716
10,28.770431518554688,13.288495063781738,11.075174331665039,13.761427879333496,16.241100311279297,6.141972541809082,-31.406280517578125,2.750246286392212,1.8321748971939087,-12.358295440673828,-25.161848068237305,0.94861114,0.94817716
11,29.591327667236328,13.546018600463867,11.407544136047363,14.245819091796875,16.226764678955078,6.161752700805664,-31.945890426635742,2.7381908893585205,1.9147883653640747,-12.459188461303711,-25.849224090576172,0.9488611,0.94847846
12,30.338424682617188,13.774001121520996,11.709911346435547,14.683127403259277,16.188243865966797,6.180900573730469,-32.4066162109375,2.7314112186431885,1.9869601726531982,-12.554001808166504,-26.47260284423828,0.94869447,0.94787586
13,31.020967483520508,13.97700023651123,11.986279487609863,15.080222129821777,16.131343841552734,6.1991777420043945,-32.801883697509766,2.7289390563964844,2.05070161819458,-12.642828941345215,-27.040931701660156,0.9486389,0.94817716
14,31.647275924682617,14.15885066986084,12.240092277526855,15.442466735839844,16.06079864501953,6.216591835021973,-33.14264678955078,2.7299892902374268,2.1075212955474854,-12.726078987121582,-27.56183433532715,0.94869447,0.94757456
15,32.223812103271484,14.32257080078125,12.473847389221191,15.774370193481445,15.980104446411133,6.232951641082764,-33.437721252441406,2.733684778213501,2.1584362983703613,-12.804083824157715,-28.04077911376953,0.94869447,0.94757456
16,32.75613021850586,14.470539093017578,12.689784049987793,16.07939910888672,15.891926765441895,6.248309135437012,-33.693599700927734,2.739698648452759,2.2043797969818115,-12.8770170211792,-28.482990264892578,0.9487778,0.94727325
17,33.248470306396484,14.604859352111816,12.889814376831055,16.360698699951172,15.798373222351074,6.262784957885742,-33.9163703918457,2.7474188804626465,2.246110439300537,-12.94546127319336,-28.892051696777344,0.9489167,0.94727325
18,33.70501708984375,14.727051734924316,13.075506210327148,16.620677947998047,15.701517105102539,6.2762861251831055,-34.110694885253906,2.7563929557800293,2.28416109085083,-13.009571075439453,-29.27151107788086,0.9488889,0.94697195
19,34.129310607910156,14.838542938232422,13.248268127441406,16.861652374267578,15.602435111999512,6.288923263549805,-34.28048324584961,2.766444444656372,2.318922996520996,-13.069735527038574,-29.62432289123535,0.94894445,0.94697195
20,34.52434539794922,14.940629005432129,13.409200668334961,17.085174560546875,15.502293586730957,6.300760269165039,-34.4290885925293,2.7773220539093018,2.350872755050659,-13.126243591308594,-29.95288848876953,0.9490278,0.94727325
21,34.89253616333008,15.034180641174316,13.559410095214844,17.293060302734375,15.401944160461426,6.311872959136963,-34.559078216552734,2.7887861728668213,2.3802123069763184,-13.179306983947754,-30.25944709777832,0.9489167,0.94727325
22,35.236148834228516,15.120283126831055,13.699820518493652,17.486818313598633,15.302062034606934,6.322206497192383,-34.6733283996582,2.8006672859191895,2.407341241836548,-13.229121208190918,-30.545780181884766,0.9489167,0.94727325
23,35.5574836730957,15.199556350708008,13.83116340637207,17.667497634887695,15.203446388244629,6.3319268226623535,-34.773712158203125,2.812697410583496,2.432377338409424,-13.27595329284668,-30.813657760620117,0.9489167,0.94697195
24,35.85804748535156,15.272624015808105,13.954265594482422,17.836238861083984,15.106223106384277,6.341025352478027,-34.861976623535156,2.824901819229126,2.4555559158325195,-13.320103645324707,-31.064332962036133,0.9489167,0.94697195
25,36.13968276977539,15.340311050415039,14.069693565368652,17.994104385375977,15.010947227478027,6.349543571472168,-34.93977355957031,2.8370563983917236,2.4771149158477783,-13.361564636230469,-31.299419403076172,0.94883335,0.94727325
26,36.40386199951172,15.402961730957031,14.178014755249023,18.14191436767578,14.917811393737793,6.357506275177002,-35.00834274291992,2.849135160446167,2.4971790313720703,-13.400704383850098,-31.51995086669922,0.94883335,0.94727325
27,36.65187454223633,15.460999488830566,14.279816627502441,18.28038787841797,14.827171325683594,6.364952564239502,-35.0687370300293,2.861049175262451,2.5158286094665527,-13.43761157989502,-31.72707176208496,0.9489167,0.94727325
28,36.88488006591797,15.514918327331543,14.375457763671875,18.410327911376953,14.738927841186523,6.371952056884766,-35.12174987792969,2.8728702068328857,2.533174991607666,-13.47243881225586,-31.921825408935547,0.9489167,0.94727325
29,37.104156494140625,15.56501293182373,14.465486526489258,18.532331466674805,14.653324127197266,6.378505229949951,-35.16855239868164,2.8844377994537354,2.5493640899658203,-13.505216598510742,-32.10512161254883,0.9489722,0.94757456
30,37.31024932861328,15.611581802368164,14.55024242401123,18.64702033996582,14.570326805114746,6.384579658508301,-35.209774017333984,2.8957390785217285,2.5644142627716064,-13.536273956298828,-32.27737808227539,0.9488889,0.94787586
31,37.50459289550781,15.65503215789795,14.630196571350098,18.7547607421875,14.490154266357422,6.390359878540039,-35.24629211425781,2.9067330360412598,2.5786006450653076,-13.565542221069336,-32.439823150634766,0.9488889,0.94787586
32,37.68707275390625,15.695550918579102,14.705460548400879,18.856130599975586,14.412779808044434,6.395820617675781,-35.27838897705078,2.917387008666992,2.591860055923462,-13.593167304992676,-32.5926399230957,0.9488611,0.94817716
33,37.85933303833008,15.733346939086914,14.776453971862793,18.95162010192871,14.338179588317871,6.400885105133057,-35.30635070800781,2.9277942180633545,2.6042726039886475,-13.619256019592285,-32.73699188232422,0.94894445,0.94787586
34,38.02145004272461,15.768721580505371,14.843413352966309,19.04150390625,14.266347885131836,6.405680179595947,-35.33115005493164,2.9378669261932373,2.6159002780914307,-13.643932342529297,-32.87290573120117,0.949,0.94817716
35,38.174842834472656,15.801711082458496,14.906661033630371,19.126203536987305,14.197175025939941,6.410192966461182,-35.3530158996582,2.9476239681243896,2.6268298625946045,-13.667268753051758,-33.001338958740234,0.9490278,0.94817716
36,38.319480895996094,15.832626342773438,14.966317176818848,19.206138610839844,14.130820274353027,6.414452075958252,-35.372528076171875,2.956960916519165,2.637070417404175,-13.689379692077637,-33.12238311767578,0.94905555,0.94817716
37,38.456024169921875,15.861601829528809,15.022705078125,19.281482696533203,14.067025184631348,6.418428421020508,-35.38957214355469,2.9659314155578613,2.6466715335845947,-13.710322380065918,-33.23666763305664,0.94894445,0.94847846
38,38.585105895996094,15.88882827758789,15.07597827911377,19.352636337280273,14.005789756774902,6.4221978187561035,-35.4044075012207,2.9746618270874023,2.655749559402466,-13.730032920837402,-33.34492492675781,0.94894445,0.94847846
39,38.706573486328125,15.914261817932129,15.126363754272461,19.419824600219727,13.947174072265625,6.425783157348633,-35.41740417480469,2.983057975769043,2.66433048248291,-13.748737335205078,-33.44703674316406,0.9488889,0.94847846
40,38.82179641723633,15.938155174255371,15.17393970489502,19.48333740234375,13.890954971313477,6.429066181182861,-35.42890930175781,2.9910786151885986,2.672325372695923,-13.766536712646484,-33.54353713989258,0.9489167,0.94817716
41,38.93089294433594,15.960651397705078,15.21900749206543,19.543333053588867,13.837054252624512,6.4321794509887695,-35.43891143798828,2.9988644123077393,2.679844856262207,-13.783394813537598,-33.63499069213867,0.9489167,0.94817716
42,39.03413772583008,15.981786727905273,15.261601448059082,19.600074768066406,13.785566329956055,6.435153484344482,-35.44764709472656,3.006288528442383,2.6869471073150635,-13.799288749694824,-33.721595764160156,0.94894445,0.94847846
43,39.131622314453125,16.001712799072266,15.302000045776367,19.653675079345703,13.736146926879883,6.43795108795166,-35.45526885986328,3.0134363174438477,2.693620443344116,-13.814332962036133,-33.80341339111328,0.9488611,0.94847846
44,39.22380447387695,16.020301818847656,15.340170860290527,19.704376220703125,13.688969612121582,6.440582275390625,-35.4620361328125,3.020251750946045,2.699929714202881,-13.828619003295898,-33.88068389892578,0.9488611,0.94847846
45,39.311214447021484,16.037914276123047,15.376404762268066,19.752281188964844,13.643929481506348,6.443090915679932,-35.467857360839844,3.0267367362976074,2.7059144973754883,-13.842196464538574,-33.954002380371094,0.9488889,0.94847846
46,39.3939094543457,16.054489135742188,15.410613059997559,19.79773712158203,13.600781440734863,6.445385932922363,-35.472862243652344,3.0329108238220215,2.711493730545044,-13.855103492736816,-34.023258209228516,0.9488889,0.94847846
47,39.472145080566406,16.070161819458008,15.443059921264648,19.84062385559082,13.559565544128418,6.4476494789123535,-35.47720718383789,3.038879156112671,2.7168421745300293,-13.867237091064453,-34.088951110839844,0.9488611,0.94847846
48,39.5462532043457,16.084924697875977,15.473774909973145,19.88125991821289,13.52025032043457,6.449697494506836,-35.480953216552734,3.0446066856384277,2.7218539714813232,-13.878763198852539,-34.15114212036133,0.9488056,0.94847846
49,39.616477966308594,16.098796844482422,15.502903938293457,19.919687271118164,13.482809066772461,6.451662063598633,-35.484405517578125,3.04996919631958,2.726567506790161,-13.889726638793945,-34.20989227294922,0.9488056,0.94817716
50,39.68285369873047,16.11184310913086,15.53043270111084,19.95616912841797,13.446990013122559,6.453549385070801,-35.48707962036133,3.055177927017212,2.7310843467712402,-13.900046348571777,-34.26569747924805,0.9487778,0.94817716
51,39.74597930908203,16.124279022216797,15.556533813476562,19.99065589904785,13.412938117980957,6.455267429351807,-35.48956298828125,3.0600616931915283,2.735300302505493,-13.909934043884277,-34.31852340698242,0.9488056,0.94817716
52,39.80570602416992,16.135929107666016,15.58138370513916,20.023290634155273,13.380450248718262,6.456976890563965,-35.49180603027344,3.0648183822631836,2.7392985820770264,-13.919243812561035,-34.36857223510742,0.94883335,0.94817716
53,39.862247467041016,16.14689826965332,15.604819297790527,20.054208755493164,13.349480628967285,6.45852518081665,-35.493408203125,3.0692622661590576,2.74306321144104,-13.928135871887207,-34.41595458984375,0.9488611,0.94817716
