epoch,W1_1_1,W1_2_1,W1_1_2,W1_2_2,W1_1_3,W1_2_3,W1_1_4,W1_2_4,W1_1_5,W1_2_5,W1_1_6,W1_2_6,W1_1_7,W1_2_7,W1_1_8,W1_2_8,W1_1_9,W1_2_9,W1_1_10,W1_2_10,W1_1_11,W1_2_11,W1_1_12,W1_2_12,W1_1_13,W1_2_13,W1_1_14,W1_2_14,W1_1_15,W1_2_15,W1_1_16,W1_2_16,W1_1_17,W1_2_17,W1_1_18,W1_2_18,W1_1_19,W1_2_19,W1_1_20,W1_2_20,W1_1_21,W1_2_21,W1_1_22,W1_2_22,W1_1_23,W1_2_23,W1_1_24,W1_2_24,W1_1_25,W1_2_25,W1_1_26,W1_2_26,W1_1_27,W1_2_27,W1_1_28,W1_2_28,W1_1_29,W1_2_29,W1_1_30,W1_2_30,W1_1_31,W1_2_31,W1_1_32,W1_2_32,W1_1_33,W1_2_33,W1_1_34,W1_2_34,W1_1_35,W1_2_35,W1_1_36,W1_2_36,W1_1_37,W1_2_37,W1_1_38,W1_2_38,W1_1_39,W1_2_39,W1_1_40,W1_2_40,W1_1_41,W1_2_41,W1_1_42,W1_2_42,b1_1,b1_2,Wout_1_1,Wout_1_2,bout_1,training_acc,testing_acc
0,0.25724175572395325,-0.13030120730400085,-0.14276142418384552,-0.31779778003692627,0.30565330386161804,-0.24336734414100647,-0.15999096632003784,-0.10615122318267822,0.030691325664520264,-0.3136936128139496,-0.31425991654396057,0.27027496695518494,0.04361832141876221,-0.3623749613761902,-0.3197820782661438,-0.001665741205215454,-0.1485181301832199,0.22853824496269226,0.11705875396728516,-0.013631880283355713,-0.257231205701828,0.06722086668014526,-0.12229600548744202,-0.25468170642852783,-0.18796662986278534,-0.2662801444530487,0.3596324026584625,0.29770293831825256,-0.2568599283695221,-0.352298766374588,0.21736708283424377,0.12424841523170471,0.19375142455101013,0.33779123425483704,0.2315901219844818,-0.21578848361968994,0.2702641189098358,-0.2943710684776306,-0.20199531316757202,-0.345842570066452,-0.23181791603565216,-0.05159103870391846,-0.2802785634994507,-0.18944616615772247,-0.10529336333274841,-0.22574540972709656,-0.2275029867887497,-0.1548321545124054,0.24799510836601257,0.31615331768989563,0.24433597922325134,-0.32620471715927124,-0.1418396234512329,0.30473026633262634,-0.07728826999664307,0.21175774931907654,-0.08179187774658203,-0.29805710911750793,0.10306254029273987,0.12346494197845459,0.2068636119365692,0.037084996700286865,0.056018680334091187,-0.029287219047546387,0.03004208207130432,0.036369144916534424,-0.2087954878807068,0.1016230583190918,-0.013321340084075928,-0.34870198369026184,0.33529409766197205,0.31594863533973694,0.22035107016563416,0.15547248721122742,0.23849186301231384,0.15006008744239807,-0.06168848276138306,-0.2975146174430847,0.307735413312912,-0.0323866605758667,-0.24430964887142181,-0.143733412027359,0.08577615022659302,0.01426243782043457,1.0,1.0,0.9851609468460083,-0.4990156292915344,1.0,0.5002368,0.4970688
1,-0.6994433999061584,2.2798469066619873,0.012655041180551052,-1.3077666759490967,0.16664515435695648,-0.6290515661239624,-1.0782216787338257,1.638543963432312,0.9890064001083374,-3.319154739379883,0.2784554958343506,-1.5450255870819092,0.3317641615867615,-1.6846442222595215,0.1628425121307373,-2.016749858856201,-0.8984987735748291,1.3775568008422852,0.0803520679473877,-0.4792826473712921,0.5723485946655273,-2.664398431777954,-0.4364277422428131,0.44011566042900085,-1.528960108757019,3.190206527709961,0.7826724648475647,-1.058300495147705,0.5536164045333862,-2.5631070137023926,0.3789893388748169,-0.7827513813972473,0.18570750951766968,0.36563149094581604,0.2332170605659485,-0.5327954888343811,0.4160457253456116,-0.32938286662101746,-0.0595068596303463,-0.7866342663764954,-0.5617382526397705,0.88759446144104,0.284078449010849,-2.245893716812134,-0.7454678416252136,1.2117944955825806,-0.4346093535423279,0.13340187072753906,0.7158066034317017,-1.4591680765151978,-1.4504480361938477,3.615297317504883,-0.9931334257125854,1.7537356615066528,-0.6706935167312622,1.467072606086731,-1.1693854331970215,1.8506841659545898,0.4395720064640045,-1.5418144464492798,-0.05482727661728859,0.08682842552661896,-1.0803242921829224,2.4448091983795166,-0.02030823566019535,-0.5983679890632629,0.7785183191299438,-3.414313316345215,-0.8917612433433533,1.15162992477417,-0.8325486779212952,3.112330436706543,-0.3652845323085785,1.2329745292663574,0.24867820739746094,0.14403820037841797,-0.5218903422355652,0.6457178592681885,0.11740575730800629,0.42268678545951843,-0.5399611592292786,0.438843697309494,0.12169617414474487,-0.389473557472229,0.792138397693634,0.43883243203163147,1.6078908443450928,-2.1521122455596924,0.6489893794059753,0.6204971,0.61246526
2,-1.2904404401779175,3.388526678085327,0.32018986344337463,-1.7407058477401733,0.22542515397071838,-1.0387070178985596,-1.565425992012024,2.318588972091675,1.4769113063812256,-4.121243000030518,0.703237771987915,-1.928606390953064,0.4324653744697571,-2.0564029216766357,0.4926052391529083,-2.486668825149536,-1.1915251016616821,1.6322910785675049,0.15789175033569336,-0.6202163100242615,1.2718772888183594,-3.6893296241760254,-0.5997838973999023,1.1632190942764282,-2.096006155014038,4.366754055023193,1.1457709074020386,-1.3523316383361816,1.0931495428085327,-3.027806520462036,0.5594894289970398,-1.1441535949707031,0.17419596016407013,0.39622414112091064,0.20436665415763855,-0.44471031427383423,0.6925052404403687,-0.1443951427936554,0.10135586559772491,-0.9604503512382507,-0.7355082035064697,1.309809923171997,0.8374170660972595,-3.216397523880005,-0.9987354874610901,1.6045416593551636,-0.5174264907836914,0.41782045364379883,1.1319726705551147,-2.1873695850372314,-2.145019054412842,4.373720169067383,-1.3335239887237549,2.0009777545928955,-0.925966739654541,1.4917066097259521,-1.628804326057434,2.2511532306671143,0.6782850027084351,-1.7969465255737305,-0.10557357966899872,0.06780555844306946,-1.693225622177124,3.3128740787506104,0.16143934428691864,-1.0814287662506104,1.568025827407837,-4.6098480224609375,-1.2567298412322998,1.3916550874710083,-1.3635692596435547,3.472473382949829,-0.49262189865112305,1.4366580247879028,0.262052983045578,0.14604274928569794,-0.6584426760673523,0.5029805898666382,0.17048458755016327,0.3190986216068268,-0.6171308159828186,0.3504880666732788,0.1398211568593979,-0.612342119216919,0.9472954869270325,0.6292986273765564,2.006375312805176,-1.980224370956421,0.3985460102558136,0.6275023,0.6217217
3,-1.8187785148620605,4.035869598388672,0.6101279854774475,-2.001769542694092,0.3550676107406616,-1.3402687311172485,-1.9139763116836548,2.704925060272217,1.8523722887039185,-4.61201286315918,1.0760799646377563,-2.1846773624420166,0.4904189705848694,-2.3215601444244385,0.7538254857063293,-2.7655482292175293,-1.4801921844482422,1.6734962463378906,0.21055032312870026,-0.660683274269104,1.8844791650772095,-4.225943565368652,-0.7102771997451782,1.6195207834243774,-2.5268402099609375,4.950387954711914,1.4261879920959473,-1.5064013004302979,1.5689154863357544,-3.266024351119995,0.6737080812454224,-1.3574336767196655,0.16840361058712006,0.42555704712867737,0.19234098494052887,-0.3705601990222931,0.9569582939147949,-0.01213119551539421,0.28439265489578247,-1.0868760347366333,-0.8678209185600281,1.5929274559020996,1.3426711559295654,-3.8085951805114746,-1.2409405708312988,1.8285562992095947,-0.5892643332481384,0.6426720023155212,1.5004557371139526,-2.6163759231567383,-2.7353298664093018,4.734453201293945,-1.6798031330108643,2.1181061267852783,-1.196552038192749,1.4790865182876587,-2.014068126678467,2.372235059738159,0.8936600089073181,-1.9181088209152222,-0.0888214185833931,0.07395020127296448,-2.2026829719543457,3.785802125930786,0.28565412759780884,-1.3690742254257202,2.2500503063201904,-5.18811559677124,-1.5786534547805786,1.4928513765335083,-1.855299472808838,3.669508218765259,-0.5735457539558411,1.5877047777175903,0.27701547741889954,0.14929629862308502,-0.7858644723892212,0.3849489986896515,0.2301030158996582,0.295991986989975,-0.7066097259521484,0.2931898534297943,0.15710271894931793,-0.7734453678131104,1.0932059288024902,0.7757178544998169,2.1203386783599854,-1.8556839227676392,0.203999862074852,0.6314412,0.6251157
4,-2.2928848266601562,4.474895477294922,0.8635962009429932,-2.162755012512207,0.5185770392417908,-1.568718433380127,-2.1982784271240234,2.9882407188415527,2.1729233264923096,-4.999565601348877,1.3782075643539429,-2.386756420135498,0.5323095321655273,-2.543266773223877,0.9710358381271362,-2.962087392807007,-1.760080099105835,1.6348544359207153,0.2599325180053711,-0.6597113013267517,2.4059998989105225,-4.560956954956055,-0.8228653073310852,1.9442317485809326,-2.9223270416259766,5.330454349517822,1.615943431854248,-1.6225183010101318,1.9280269145965576,-3.427990198135376,0.7671452760696411,-1.5106123685836792,0.16845881938934326,0.45449602603912354,0.17143461108207703,-0.3125385344028473,1.1139626502990723,0.09332116693258286,0.46747079491615295,-1.1766687631607056,-0.9913555979728699,1.8082828521728516,1.7865511178970337,-4.243027210235596,-1.4887641668319702,1.9841656684875488,-0.6422358155250549,0.8267425894737244,1.8327381610870361,-2.920534372329712,-3.2513577938079834,4.959327697753906,-1.9835940599441528,2.176715850830078,-1.4330391883850098,1.4581762552261353,-2.3413896560668945,2.3966023921966553,1.0828800201416016,-2.018073320388794,-0.0379207469522953,0.08668763935565948,-2.633237600326538,4.114184856414795,0.4051080346107483,-1.5679397583007812,2.821310520172119,-5.547736644744873,-1.840895652770996,1.546014666557312,-2.2759974002838135,3.8239471912384033,-0.6514699459075928,1.7057729959487915,0.29404956102371216,0.15273258090019226,-0.8827307820320129,0.3021107614040375,0.30222833156585693,0.296363890171051,-0.7769613265991211,0.2591394782066345,0.17914921045303345,-0.9083126187324524,1.2265241146087646,0.8490784764289856,2.055746555328369,-1.7652032375335693,0.05752958357334137,0.6322888,0.6275841
5,-2.7083332538604736,4.800347805023193,1.0847681760787964,-2.2674219608306885,0.6875774264335632,-1.751073956489563,-2.458355188369751,3.2167155742645264,2.465305805206299,-5.324755668640137,1.6337422132492065,-2.5536630153656006,0.5791015028953552,-2.740232229232788,1.16668701171875,-3.106696367263794,-2.0141947269439697,1.5658060312271118,0.31430619955062866,-0.6456865072250366,2.8455448150634766,-4.802402496337891,-0.9351623058319092,2.191451072692871,-3.296968460083008,5.607272148132324,1.7565990686416626,-1.7228668928146362,2.19191312789917,-3.570596694946289,0.8709565997123718,-1.6213091611862183,0.1725429892539978,0.4830777645111084,0.13478009402751923,-0.26360875368118286,1.1920024156570435,0.1663941890001297,0.638636589050293,-1.2390036582946777,-1.1117162704467773,1.980499505996704,2.1651690006256104,-4.585818290710449,-1.7377657890319824,2.097572088241577,-0.6821032762527466,0.9806665778160095,2.1288654804229736,-3.165074110031128,-3.693795919418335,5.1240553855896,-2.232161283493042,2.2200560569763184,-1.624943494796753,1.434463620185852,-2.622253894805908,2.382085084915161,1.247191309928894,-2.1114485263824463,0.014737753197550774,0.09379991888999939,-3.004366874694824,4.373971939086914,0.5342953205108643,-1.7045018672943115,3.2849977016448975,-5.815952777862549,-2.0450522899627686,1.5853023529052734,-2.6266703605651855,3.9568827152252197,-0.7396857142448425,1.7951414585113525,0.3126339614391327,0.15720170736312866,-0.9483487010002136,0.2462472766637802,0.3766162097454071,0.303941011428833,-0.8210773468017578,0.2459949553012848,0.20145562291145325,-1.0272971391677856,1.3530590534210205,0.8789357542991638,1.9599392414093018,-1.6932872533798218,-0.06314750760793686,0.63278735,0.6272755
6,-3.0717811584472656,5.059204578399658,1.2747762203216553,-2.3405351638793945,0.8470422625541687,-1.9035528898239136,-2.7086830139160156,3.408052682876587,2.7312026023864746,-5.6008992195129395,1.8543217182159424,-2.6973514556884766,0.6324405074119568,-2.912310838699341,1.342956781387329,-3.219550848007202,-2.244849681854248,1.4899274110794067,0.36888083815574646,-0.6296892762184143,3.2136244773864746,-4.9973673820495605,-1.046058177947998,2.3860316276550293,-3.650007963180542,5.821263790130615,1.8737635612487793,-1.812740445137024,2.3931376934051514,-3.7077019214630127,0.9871007800102234,-1.698395848274231,0.17951840162277222,0.5107992887496948,0.08447869122028351,-0.22478467226028442,1.2293773889541626,0.2114778757095337,0.7951263785362244,-1.2828656435012817,-1.2251094579696655,2.121354818344116,2.4926083087921143,-4.865529537200928,-1.9757609367370605,2.1855244636535645,-0.7190076112747192,1.1161197423934937,2.389716148376465,-3.376103162765503,-4.067840576171875,5.264308929443359,-2.4353690147399902,2.2633168697357178,-1.7749292850494385,1.4187593460083008,-2.86220121383667,2.3552353382110596,1.388960599899292,-2.1977524757385254,0.06041597202420235,0.09359436482191086,-3.329735279083252,4.596095561981201,0.6692512631416321,-1.8012131452560425,3.6667048931121826,-6.039850234985352,-2.202047348022461,1.6245747804641724,-2.917250633239746,4.079702377319336,-0.8280258178710938,1.866916298866272,0.33220183849334717,0.1633407026529312,-0.989883303642273,0.21181221306324005,0.4493374526500702,0.3174934685230255,-0.8439685106277466,0.25033876299858093,0.22443827986717224,-1.1355782747268677,1.4607309103012085,0.8844537734985352,1.8866193294525146,-1.6379587650299072,-0.1589714139699936,0.6325879,0.6275841
7,-3.3921473026275635,5.276996612548828,1.4370949268341064,-2.3962130546569824,0.9933459162712097,-2.0340044498443604,-2.949174165725708,3.573108673095703,2.9699463844299316,-5.836531162261963,2.045733690261841,-2.825246810913086,0.6902137398719788,-3.058568000793457,1.4999819993972778,-3.311709403991699,-2.4539310932159424,1.4200457334518433,0.42213380336761475,-0.6141356825828552,3.5228030681610107,-5.1633524894714355,-1.155417799949646,2.541999578475952,-3.9758384227752686,5.99737024307251,1.9780126810073853,-1.8948876857757568,2.554189682006836,-3.839698314666748,1.107602596282959,-1.751644253730774,0.18873678147792816,0.5376092791557312,0.02486237697303295,-0.19693903625011444,1.2484185695648193,0.23815174400806427,0.9383268356323242,-1.3145668506622314,-1.3281103372573853,2.2398247718811035,2.781458616256714,-5.099959850311279,-2.1952192783355713,2.2594850063323975,-0.7573056817054749,1.2387498617172241,2.6193039417266846,-3.5640933513641357,-4.385718822479248,5.395586967468262,-2.6057682037353516,2.310149908065796,-1.8885129690170288,1.41940438747406,-3.066826105117798,2.3286051750183105,1.510721206665039,-2.275344133377075,0.0991467610001564,0.09076349437236786,-3.6188390254974365,4.793895244598389,0.8033661842346191,-1.8720312118530273,3.9879229068756104,-6.237151145935059,-2.325819730758667,1.667310118675232,-3.159785509109497,4.199447154998779,-0.9085971117019653,1.9308216571807861,0.35237011313438416,0.17096221446990967,-1.0145450830459595,0.19350005686283112,0.5185717940330505,0.33584484457969666,-0.8528587222099304,0.2687975764274597,0.24927650392055511,-1.2352901697158813,1.5448803901672363,0.8734055161476135,1.8349785804748535,-1.5974576473236084,-0.22914214432239532,0.63174033,0.6278926
8,-3.6781809329986572,5.466902256011963,1.5758419036865234,-2.443345069885254,1.1278080940246582,-2.1470489501953125,-3.1770663261413574,3.7194714546203613,3.1833620071411133,-6.040347099304199,2.2140402793884277,-2.9411001205444336,0.7505327463150024,-3.1810169219970703,1.6394071578979492,-3.38912034034729,-2.641852855682373,1.3625184297561646,0.4739522635936737,-0.6005877256393433,3.785088539123535,-5.309189796447754,-1.2620337009429932,2.6698434352874756,-4.271612644195557,6.15094518661499,2.073103427886963,-1.9705452919006348,2.68821120262146,-3.9657270908355713,1.2249279022216797,-1.7902076244354248,0.19973845779895782,0.5635977983474731,-0.040265873074531555,-0.17852693796157837,1.2599071264266968,0.25477609038352966,1.0701102018356323,-1.3381675481796265,-1.4194353818893433,2.342790365219116,3.0404446125030518,-5.300683498382568,-2.394620656967163,2.3261566162109375,-0.7973465323448181,1.350578784942627,2.8230502605438232,-3.7348389625549316,-4.660399436950684,5.5217790603637695,-2.7529706954956055,2.359898328781128,-1.9732125997543335,1.4360278844833374,-3.242628812789917,2.307152032852173,1.6160545349121094,-2.3437893390655518,0.13237571716308594,0.08881784975528717,-3.878525495529175,4.973272323608398,0.932341992855072,-1.925217866897583,4.263175964355469,-6.4158101081848145,-2.427503824234009,1.7128275632858276,-3.366436243057251,4.316731929779053,-0.9791762232780457,1.991774559020996,0.3729121685028076,0.17964601516723633,-1.0283657312393188,0.1865503191947937,0.5826963186264038,0.35688692331314087,-0.8533681035041809,0.29772794246673584,0.27575743198394775,-1.3273528814315796,1.6086010932922363,0.850807785987854,1.7968007326126099,-1.5676902532577515,-0.2782587707042694,0.6314661,0.62634987
9,-3.9368882179260254,5.63590669631958,1.6948322057724,-2.4870893955230713,1.2526713609695435,-2.2460098266601562,-3.3907718658447266,3.852304697036743,3.374568462371826,-6.219598770141602,2.3647849559783936,-3.046795129776001,0.8117767572402954,-3.283428907394409,1.7635148763656616,-3.4557907581329346,-2.8095827102661133,1.3194537162780762,0.5242877006530762,-0.5900332927703857,4.010392665863037,-5.440542697906494,-1.364571213722229,2.7776503562927246,-4.537423610687256,6.290994167327881,2.1605114936828613,-2.0404629707336426,2.80307674407959,-4.085580348968506,1.3347890377044678,-1.8203985691070557,0.21216769516468048,0.588889479637146,-0.1079656258225441,-0.16758306324481964,1.268510341644287,0.2666384279727936,1.1920453310012817,-1.356412410736084,-1.4994343519210815,2.4347801208496094,3.2755513191223145,-5.475942611694336,-2.5754222869873047,2.388636589050293,-0.8382356762886047,1.4530636072158813,3.006230592727661,-3.8919427394866943,-4.901799201965332,5.643022537231445,-2.8836655616760254,2.410830020904541,-2.0363759994506836,1.4645259380340576,-3.3955397605895996,2.2919516563415527,1.7082865238189697,-2.403637170791626,0.1612856239080429,0.08901911973953247,-4.114167213439941,5.137195587158203,1.054089069366455,-1.9663445949554443,4.5028076171875,-6.58023738861084,-2.5144991874694824,1.7597191333770752,-3.547062397003174,4.429666519165039,-1.0405689477920532,2.0513603687286377,0.39370203018188477,0.1890670359134674,-1.0359489917755127,0.186883807182312,0.6408791542053223,0.3788302540779114,-0.8493340611457825,0.33321017026901245,0.3030720353126526,-1.4125025272369385,1.656951904296875,0.820294976234436,1.7664282321929932,-1.5449548959732056,-0.3122324049472809,0.63076806,0.62326443
