epoch,Wout_1,Wout_2,Wout_3,Wout_4,Wout_5,Wout_6,Wout_7,Wout_8,Wout_9,Wout_10,Wout_11,Wout_12,Wout_13,Wout_14,Wout_15,Wout_16,Wout_17,Wout_18,Wout_19,Wout_20,Wout_21,Wout_22,Wout_23,Wout_24,Wout_25,Wout_26,Wout_27,Wout_28,Wout_29,Wout_30,Wout_31,Wout_32,Wout_33,Wout_34,Wout_35,Wout_36,Wout_37,Wout_38,Wout_39,Wout_40,Wout_41,Wout_42,bout_1,training_acc,testing_acc
0,0.26021575927734375,-0.13180764019489288,-0.14441190659999847,-0.3214718699455261,0.3091869354248047,-0.2461809366941452,-0.16184063255786896,-0.10737845301628113,0.031046152114868164,-0.3173202574253082,-0.3178930878639221,0.2733996510505676,0.0441226065158844,-0.36656442284584045,-0.3234790861606598,-0.001685023307800293,-0.1502351611852646,0.23118042945861816,0.1184120774269104,-0.013789474964141846,-0.26020509004592896,0.0679980218410492,-0.12370987236499786,-0.25762608647346497,-0.19013972580432892,-0.26935863494873047,0.3637900948524475,0.30114471912384033,-0.2598295211791992,-0.3563717007637024,0.21988004446029663,0.12568485736846924,0.1959913969039917,0.34169644117355347,0.23426759243011475,-0.21828323602676392,0.27338868379592896,-0.2977743148803711,-0.20433059334754944,-0.3498408794403076,-0.23449797928333282,-0.05218750238418579,1.0,0.49876598,0.49429187
1,-2.6329469680786133,0.9675722718238831,0.6739498376846313,-1.7722573280334473,2.0182278156280518,1.1189782619476318,0.8845599889755249,1.2887619733810425,-1.0650321245193481,0.40498530864715576,2.3791141510009766,-0.9352036714553833,-2.3401284217834473,0.8222851157188416,1.200624942779541,0.2826646566390991,-0.19780129194259644,-0.10433449596166611,0.11053046584129333,0.3826392889022827,-1.1683096885681152,1.7145847082138062,-1.185951828956604,-0.3583509922027588,1.5167144536972046,-2.3460166454315186,-0.9696401953697205,-0.6549432873725891,-1.3213552236557007,0.9704501628875732,-0.05554892122745514,-2.0834767818450928,0.8865156769752502,2.616121530532837,-0.9024929404258728,-1.7772278785705566,-0.6836612224578857,-0.2488730549812317,-0.5148775577545166,0.20473037660121918,-0.37118157744407654,0.46481069922447205,0.36886870861053467,0.63662654,0.6356063
2,-2.7967936992645264,1.0780283212661743,0.8581990599632263,-1.99294114112854,1.980628490447998,1.2920334339141846,0.8961777091026306,1.2169100046157837,-1.083267092704773,0.4048087000846863,2.447767972946167,-1.1332210302352905,-2.2457756996154785,0.8535410761833191,1.1712303161621094,0.3429153859615326,-0.23143479228019714,-0.23991066217422485,0.12599772214889526,0.5013372302055359,-1.2494118213653564,1.8391926288604736,-1.2708377838134766,-0.4773235321044922,1.6776440143585205,-2.320307493209839,-1.084646463394165,-0.6600211262702942,-1.2614259719848633,0.9922668933868408,-0.05178254097700119,-2.128582000732422,1.011649250984192,2.5500857830047607,-0.9313375353813171,-1.7666957378387451,-0.7267884612083435,-0.20742453634738922,-0.48218268156051636,0.22185280919075012,-0.38594159483909607,0.5111695528030396,0.3677104711532593,0.6373246,0.6356063
3,-2.8120696544647217,1.096981406211853,0.9217414855957031,-2.0530576705932617,1.969982385635376,1.3421378135681152,0.8990330696105957,1.196874976158142,-1.0904688835144043,0.411785751581192,2.4445037841796875,-1.1844826936721802,-2.2198538780212402,0.8573622703552246,1.1684927940368652,0.35065701603889465,-0.26096388697624207,-0.27678439021110535,0.12673120200634003,0.5490463376045227,-1.255728006362915,1.8527767658233643,-1.2861672639846802,-0.5175091624259949,1.7218879461288452,-2.312262535095215,-1.1179530620574951,-0.6611648201942444,-1.245835304260254,0.9985746145248413,-0.05772365629673004,-2.125669479370117,1.0432121753692627,2.5304243564605713,-0.9360948801040649,-1.7639447450637817,-0.7321374416351318,-0.1688409000635147,-0.4744889736175537,0.22447364032268524,-0.3919876515865326,0.5181637406349182,0.3680277168750763,0.6370254,0.63653195
4,-2.8123743534088135,1.1007683277130127,0.9428158402442932,-2.071636199951172,1.9670779705047607,1.3569694757461548,0.8993880748748779,1.1921043395996094,-1.092323660850525,0.4151552617549896,2.441394090652466,-1.1993966102600098,-2.2134125232696533,0.8582502603530884,1.1684280633926392,0.3507630527019501,-0.2879002094268799,-0.2884244918823242,0.12630228698253632,0.5662311315536499,-1.2555992603302002,1.8539018630981445,-1.2893364429473877,-0.5305748581886292,1.7354735136032104,-2.3101913928985596,-1.1275622844696045,-0.6613343954086304,-1.2422930002212524,1.0003269910812378,-0.060666657984256744,-2.1235015392303467,1.052187204360962,2.525721311569214,-0.9373025298118591,-1.7632653713226318,-0.7321219444274902,-0.13295374810695648,-0.472465842962265,0.2254042774438858,-0.3937968909740448,0.519105851650238,0.36803901195526123,0.6369506,0.63653195
5,-2.811774969100952,1.1016875505447388,0.9497297406196594,-2.077556610107422,1.9662350416183472,1.3614115715026855,0.8993749618530273,1.1908599138259888,-1.0928139686584473,0.4163353741168976,2.440201997756958,-1.2038700580596924,-2.211674690246582,0.8584496378898621,1.1685478687286377,0.3504118025302887,-0.31262025237083435,-0.29224351048469543,0.12603552639484406,0.5722204446792603,-1.2552891969680786,1.8537744283676147,-1.2900701761245728,-0.5347714424133301,1.7397053241729736,-2.3096282482147217,-1.1303077936172485,-0.6613450050354004,-1.2414326667785645,1.0008304119110107,-0.06172889471054077,-2.122685670852661,1.0547478199005127,2.5245580673217773,-0.9376389384269714,-1.7631044387817383,-0.7318033576011658,-0.09959239512681961,-0.47187870740890503,0.22572478652000427,-0.39437156915664673,0.5190834999084473,0.36802026629447937,0.6369257,0.63653195
6,-2.8114452362060547,1.1019762754440308,0.9520099759101868,-2.0794668197631836,1.9659862518310547,1.3627536296844482,0.8993335962295532,1.190502643585205,-1.092939019203186,0.4166942536830902,2.4398179054260254,-1.205241084098816,-2.2111997604370117,0.8584569692611694,1.168623447418213,0.3502398431301117,-0.3353317379951477,-0.2935181260108948,0.12589704990386963,0.5742858052253723,-1.2551121711730957,1.8536458015441895,-1.2902628183364868,-0.5361064672470093,1.741003394126892,-2.309492826461792,-1.131056308746338,-0.6613289713859558,-1.2412091493606567,1.000977873802185,-0.06208163499832153,-2.122415542602539,1.055445671081543,2.524304151535034,-0.9377226233482361,-1.763081669807434,-0.7316173315048218,-0.06858999282121658,-0.47169163823127747,0.22583651542663574,-0.3945751488208771,0.5188940763473511,0.3680020868778229,0.6369257,0.63653195
7,-2.8112828731536865,1.1020965576171875,0.9527534246444702,-2.0800600051879883,1.9659159183502197,1.3631640672683716,0.8993006944656372,1.1903915405273438,-1.0929569005966187,0.4167747497558594,2.4397106170654297,-1.205682396888733,-2.211078643798828,0.8584086298942566,1.1686702966690063,0.3501749336719513,-0.356201708316803,-0.29395267367362976,0.1258096992969513,0.5750058889389038,-1.2549976110458374,1.853577971458435,-1.2903085947036743,-0.5365230441093445,1.7413649559020996,-2.3094682693481445,-1.1312358379364014,-0.6613174080848694,-1.2411421537399292,1.0010130405426025,-0.062205199152231216,-2.122323513031006,1.055612325668335,2.524287462234497,-0.9377341270446777,-1.763102412223816,-0.7315149307250977,-0.039784111082553864,-0.4716215133666992,0.22588124871253967,-0.3946630656719208,0.518682599067688,0.3679862320423126,0.6369506,0.63653195
8,-2.8111820220947266,1.1021747589111328,0.9529982805252075,-2.0802383422851562,1.9659068584442139,1.3632891178131104,0.8992701768875122,1.1903537511825562,-1.0929486751556396,0.4167652130126953,2.4397096633911133,-1.205843210220337,-2.211085319519043,0.8583495616912842,1.1687023639678955,0.3501475155353546,-0.37538284063339233,-0.29410839080810547,0.12574636936187744,0.5752703547477722,-1.2549104690551758,1.853540062904358,-1.2903199195861816,-0.5366424918174744,1.741432785987854,-2.3094892501831055,-1.1312506198883057,-0.661310613155365,-1.2411277294158936,1.0010138750076294,-0.06225199997425079,-2.1222920417785645,1.0556260347366333,2.5243594646453857,-0.9377232789993286,-1.763124942779541,-0.7314431071281433,-0.013018080964684486,-0.47159022092819214,0.22589990496635437,-0.3947125971317291,0.5184782147407532,0.36797696352005005,0.6369506,0.63653195
9,-2.811119556427002,1.1022326946258545,0.9530922770500183,-2.0802876949310303,1.9659075736999512,1.3633267879486084,0.8992463946342468,1.1903398036956787,-1.0929303169250488,0.4167333245277405,2.439742088317871,-1.2059077024459839,-2.2111077308654785,0.8582887053489685,1.1687299013137817,0.35013264417648315,-0.3930138349533081,-0.29417216777801514,0.12568937242031097,0.575381338596344,-1.254830002784729,1.8535107374191284,-1.2903175354003906,-0.536669135093689,1.741411566734314,-2.3095123767852783,-1.1312252283096313,-0.661298930644989,-1.2411272525787354,1.0010071992874146,-0.06227467209100723,-2.1222825050354004,1.055605173110962,2.5244333744049072,-0.9377086162567139,-1.7631542682647705,-0.7313836812973022,0.011854207143187523,-0.47157013416290283,0.22591300308704376,-0.3947490155696869,0.5182865858078003,0.36796286702156067,0.6369506,0.63653195
