epoch,W1_1_1,W1_2_1,W1_1_2,W1_2_2,W1_1_3,W1_2_3,W1_1_4,W1_2_4,W1_1_5,W1_2_5,W1_1_6,W1_2_6,W1_1_7,W1_2_7,W1_1_8,W1_2_8,W1_1_9,W1_2_9,W1_1_10,W1_2_10,W1_1_11,W1_2_11,W1_1_12,W1_2_12,W1_1_13,W1_2_13,W1_1_14,W1_2_14,W1_1_15,W1_2_15,W1_1_16,W1_2_16,W1_1_17,W1_2_17,W1_1_18,W1_2_18,W1_1_19,W1_2_19,W1_1_20,W1_2_20,W1_1_21,W1_2_21,W1_1_22,W1_2_22,W1_1_23,W1_2_23,W1_1_24,W1_2_24,W1_1_25,W1_2_25,W1_1_26,W1_2_26,W1_1_27,W1_2_27,W1_1_28,W1_2_28,W1_1_29,W1_2_29,W1_1_30,W1_2_30,W1_1_31,W1_2_31,W1_1_32,W1_2_32,W1_1_33,W1_2_33,W1_1_34,W1_2_34,W1_1_35,W1_2_35,W1_1_36,W1_2_36,W1_1_37,W1_2_37,W1_1_38,W1_2_38,W1_1_39,W1_2_39,W1_1_40,W1_2_40,W1_1_41,W1_2_41,W1_1_42,W1_2_42,b1_1,b1_2,W2_1_1,W2_2_1,W2_1_2,W2_2_2,b2_1,b2_2,W3_1_1,W3_2_1,W3_1_2,W3_2_2,b3_1,b3_2,Wout_1_1,Wout_1_2,bout_1,training_acc,testing_acc
0,0.25724175572395325,-0.13030120730400085,-0.14276142418384552,-0.31779778003692627,0.30565330386161804,-0.24336734414100647,-0.15999096632003784,-0.10615122318267822,0.030691325664520264,-0.3136936128139496,-0.31425991654396057,0.27027496695518494,0.04361832141876221,-0.3623749613761902,-0.3197820782661438,-0.001665741205215454,-0.1485181301832199,0.22853824496269226,0.11705875396728516,-0.013631880283355713,-0.257231205701828,0.06722086668014526,-0.12229600548744202,-0.25468170642852783,-0.18796662986278534,-0.2662801444530487,0.3596324026584625,0.29770293831825256,-0.2568599283695221,-0.352298766374588,0.21736708283424377,0.12424841523170471,0.19375142455101013,0.33779123425483704,0.2315901219844818,-0.21578848361968994,0.2702641189098358,-0.2943710684776306,-0.20199531316757202,-0.345842570066452,-0.23181791603565216,-0.05159103870391846,-0.2802785634994507,-0.18944616615772247,-0.10529336333274841,-0.22574540972709656,-0.2275029867887497,-0.1548321545124054,0.24799510836601257,0.31615331768989563,0.24433597922325134,-0.32620471715927124,-0.1418396234512329,0.30473026633262634,-0.07728826999664307,0.21175774931907654,-0.08179187774658203,-0.29805710911750793,0.10306254029273987,0.12346494197845459,0.2068636119365692,0.037084996700286865,0.056018680334091187,-0.029287219047546387,0.03004208207130432,0.036369144916534424,-0.2087954878807068,0.1016230583190918,-0.013321340084075928,-0.34870198369026184,0.33529409766197205,0.31594863533973694,0.22035107016563416,0.15547248721122742,0.23849186301231384,0.15006008744239807,-0.06168848276138306,-0.2975146174430847,0.307735413312912,-0.0323866605758667,-0.24430964887142181,-0.143733412027359,0.08577615022659302,0.01426243782043457,1.0,1.0,0.8531745672225952,-0.43216025829315186,-0.47348612546920776,-1.05401611328125,1.0,1.0,0.8531745672225952,-0.43216025829315186,-0.47348612546920776,-1.05401611328125,1.0,1.0,0.9851609468460083,-0.4990156292915344,1.0,0.5002368,0.4970688
1,0.25174370408058167,-0.1677144467830658,-0.13750338554382324,-0.43225130438804626,0.308044970035553,-0.33024486899375916,-0.1643260270357132,-0.16734416782855988,0.0499044694006443,-0.5114920139312744,-0.3084765374660492,0.1396097093820572,0.053899746388196945,-0.46401190757751465,-0.3087095320224762,-0.17254532873630524,-0.16148090362548828,0.1515761911869049,0.12014201283454895,-0.12846066057682037,-0.24421371519565582,-0.0854242816567421,-0.1250544637441635,-0.34263554215431213,-0.19848795235157013,-0.32254111766815186,0.3685651421546936,0.16338670253753662,-0.23995083570480347,-0.4805224537849426,0.2236514389514923,-0.011410381644964218,0.19365036487579346,0.3380178213119507,0.23459534347057343,-0.26196253299713135,0.275873064994812,-0.3596746623516083,-0.19952630996704102,-0.37632179260253906,-0.23413769900798798,-0.06254622340202332,-0.2893162965774536,-0.21859218180179596,-0.13219054043293,-0.18486911058425903,-0.2442128211259842,-0.1400555968284607,0.23638348281383514,0.296093225479126,0.20718008279800415,-0.2489205300807953,-0.16399036347866058,0.32399410009384155,-0.10006461292505264,0.2742721438407898,-0.1175977811217308,-0.24559541046619415,0.09097457677125931,0.04758382961153984,0.18705813586711884,0.05067916959524155,0.023587128147482872,0.03621577471494675,0.017031144350767136,0.014595836400985718,-0.21876497566699982,0.03575504571199417,-0.039896778762340546,-0.29606232047080994,0.3047284781932831,0.4190172255039215,0.1929709017276764,0.18585269153118134,0.23849517107009888,0.14926373958587646,-0.0770513117313385,-0.26439768075942993,0.2942673861980438,0.002688864478841424,-0.2547657787799835,-0.11303699016571045,0.08366931229829788,0.006378638558089733,0.980918824672699,0.8689669370651245,0.8585106730461121,-0.08708000183105469,-0.5154193639755249,-0.8657654523849487,1.0697474479675293,1.6256654262542725,-0.5355859398841858,-1.2740553617477417,-1.6144410371780396,-1.833918809890747,-0.768345296382904,-0.09632603824138641,-0.15054985880851746,-0.3776732087135315,-0.38470831513404846,0.49976316,0.5029312
2,0.2522958517074585,-0.1528937667608261,-0.12166593968868256,-0.4731055200099945,0.31831660866737366,-0.3530827462673187,-0.16100488603115082,-0.15781870484352112,0.08205962181091309,-0.6203458309173584,-0.29186269640922546,0.09237496554851532,0.07124046236276627,-0.5211047530174255,-0.28288713097572327,-0.2505670189857483,-0.1621885895729065,0.1883178949356079,0.13436473906040192,-0.16344135999679565,-0.21935172379016876,-0.16795288026332855,-0.1189812570810318,-0.34462153911590576,-0.19952444732189178,-0.2898046374320984,0.38790562748908997,0.10474104434251785,-0.21542102098464966,-0.5669659376144409,0.2421683520078659,-0.06528168171644211,0.1936039924621582,0.3381166458129883,0.24151700735092163,-0.2807272970676422,0.28657785058021545,-0.392931193113327,-0.19455526769161224,-0.391988605260849,-0.2349858433008194,-0.05343138426542282,-0.29246777296066284,-0.1856701672077179,-0.15363292396068573,-0.07025648653507233,-0.2568786144256592,-0.06983588635921478,0.23080436885356903,0.33844077587127686,0.17266817390918732,-0.07604222744703293,-0.18135938048362732,0.4199294149875641,-0.12139973044395447,0.3775922358036041,-0.14664867520332336,-0.09262876212596893,0.09092369675636292,0.07983827590942383,0.17209257185459137,0.13525612652301788,-0.005230621434748173,0.18288280069828033,0.009867439977824688,0.06652986258268356,-0.21919147670269012,0.06758640706539154,-0.06314385682344437,-0.1739659458398819,0.2739327847957611,0.5621337890625,0.17096713185310364,0.3043096363544464,0.23856012523174286,0.14894384145736694,-0.0907001942396164,-0.19522428512573242,0.2820718586444855,0.062221791595220566,-0.26431581377983093,-0.06559815257787704,0.08273635059595108,0.014506367035210133,0.9811609387397766,0.924877941608429,0.8321729898452759,-0.16263651847839355,-0.6600980162620544,-1.1675139665603638,1.0516077280044556,1.553841233253479,-0.6673773527145386,-1.361212134361267,-1.7690458297729492,-1.9714950323104858,-0.9068546891212463,-0.1587517112493515,-0.42412737011909485,-0.6580474972724915,-0.3514617085456848,0.49976316,0.5029312
3,0.16659539937973022,1.4605121612548828,-0.2719459533691406,-1.1548312902450562,0.21441017091274261,-0.4620271921157837,-0.2727774679660797,1.04835045337677,-0.0802231952548027,-2.7675206661224365,-0.4452034831047058,-1.4172049760818481,-0.01889684982597828,-1.5162451267242432,-0.46865910291671753,-1.700129508972168,-0.3598024249076843,1.1381645202636719,-0.012063617818057537,-0.25520455837249756,-0.3627127408981323,-1.9223356246948242,-0.2551327347755432,-0.1796473264694214,-0.34420764446258545,2.0903408527374268,0.24184688925743103,-0.9902656078338623,-0.29922518134117126,-2.145646095275879,0.09180988371372223,-0.54790198802948,0.19369347393512726,0.35199272632598877,0.18964610993862152,-0.6278142333030701,0.22502058744430542,-0.5913990139961243,-0.2219359129667282,-0.6737943291664124,-0.25366491079330444,0.5956335663795471,-0.41656291484832764,-1.3822413682937622,-0.29691335558891296,1.0285089015960693,-0.3670879602432251,0.045730650424957275,0.09213525056838989,-0.8618758916854858,0.05761831998825073,2.9925179481506348,-0.3065759241580963,1.8452982902526855,-0.19260993599891663,1.5907270908355713,-0.31557905673980713,1.6753638982772827,-0.12973275780677795,-1.4201143980026245,0.04040655121207237,0.2622874975204468,-0.1381133794784546,1.9169987440109253,-0.12356506288051605,-0.05000101029872894,-0.4206045866012573,-2.234114170074463,-0.19009211659431458,1.051913857460022,0.21861429512500763,2.995793342590332,0.0319344587624073,1.202096939086914,0.23844480514526367,0.15363247692584991,-0.1546020209789276,0.7907100915908813,0.23577168583869934,0.6697691082954407,-0.3091222643852234,0.5743666291236877,0.05258576571941376,-0.3107638359069824,0.6227918267250061,0.18906432390213013,0.49250680208206177,-0.25987231731414795,-2.8706326484680176,-4.484496593475342,0.4966962933540344,1.4875138998031616,-1.0811256170272827,-2.0762832164764404,-2.5889110565185547,-3.4186675548553467,-0.5650274753570557,0.5066215395927429,-1.7431793212890625,-2.250901222229004,0.7091473937034607,0.61010146,0.60968834
4,0.13225682079792023,2.9712331295013428,-0.30598071217536926,-1.6001546382904053,0.18998123705387115,-0.8848730325698853,-0.30876895785331726,2.0768041610717773,-0.10265541821718216,-4.041158199310303,-0.47297579050064087,-2.0300681591033936,-0.033792153000831604,-2.0675177574157715,-0.5016375184059143,-2.131235122680664,-0.40777623653411865,1.7091988325119019,-0.04728720337152481,-0.3521868884563446,-0.3871825933456421,-3.3474576473236084,-0.2924010157585144,0.6910489797592163,-0.3963282108306885,4.133792877197266,0.21440720558166504,-1.4765037298202515,-0.3085601031780243,-2.9076993465423584,0.059713590890169144,-1.0309820175170898,0.19341908395290375,0.3722563683986664,0.17989034950733185,-0.5072236657142639,0.2094544768333435,-0.42394593358039856,-0.22609621286392212,-0.8289762139320374,-0.26189374923706055,1.2847416400909424,-0.4323452413082123,-2.781867265701294,-0.3363504707813263,1.6572520732879639,-0.3960385322570801,0.30936187505722046,0.06650785356760025,-1.9118523597717285,0.01028382033109665,4.491298198699951,-0.34062430262565613,2.155935525894165,-0.21749746799468994,1.9327824115753174,-0.3643808662891388,2.513245105743408,-0.17528893053531647,-2.006202220916748,0.006099684629589319,0.06779318302869797,-0.18138916790485382,3.1786046028137207,-0.15056142210960388,-0.843803882598877,-0.45102331042289734,-4.262351989746094,-0.2268814742565155,1.597453236579895,0.18820703029632568,3.7415030002593994,-0.0015045184409245849,1.4666012525558472,0.23820185661315918,0.149664968252182,-0.1713535636663437,0.8088397979736328,0.22386740148067474,0.6057547926902771,-0.3204449713230133,0.5600352883338928,0.04718560352921486,-0.6455762982368469,0.5380175113677979,-0.0812232568860054,0.5153717994689941,-0.3154616057872772,-3.307750701904297,-4.7619404792785645,0.7285930514335632,0.896172285079956,-1.4787012338638306,-2.3401596546173096,-2.8807809352874756,-3.4360239505767822,-0.6844268441200256,0.39269116520881653,-2.0974931716918945,-2.221081256866455,0.7020631432533264,0.6235884,0.617402
5,0.10327919572591782,3.8069775104522705,-0.31958818435668945,-1.9555401802062988,0.182615265250206,-1.1528040170669556,-0.3314044773578644,2.722734212875366,-0.10305719077587128,-4.664496898651123,-0.4832500219345093,-2.415843963623047,-0.03185964748263359,-2.337718963623047,-0.5063897967338562,-2.382469654083252,-0.42918363213539124,1.872930884361267,-0.06512467563152313,-0.445502370595932,-0.39184510707855225,-4.1748576164245605,-0.32105743885040283,1.2328612804412842,-0.434705525636673,5.017159461975098,0.20637518167495728,-1.7501881122589111,-0.3056936264038086,-3.2556979656219482,0.050426747649908066,-1.3899257183074951,0.19319786131381989,0.3936433792114258,0.17659661173820496,-0.3831905424594879,0.20013169944286346,-0.36700528860092163,-0.22708897292613983,-0.9784796833992004,-0.2699446678161621,1.751051425933838,-0.4244985282421112,-3.4886159896850586,-0.3573418855667114,2.057953357696533,-0.41565245389938354,0.505736768245697,0.06196622923016548,-2.493354082107544,-0.02686523087322712,5.145394325256348,-0.35893064737319946,2.4108612537384033,-0.23479510843753815,2.1369616985321045,-0.39152467250823975,2.9447245597839355,-0.19382627308368683,-2.194230318069458,-0.012917732819914818,-0.030592534691095352,-0.21655496954917908,3.8949782848358154,-0.15590760111808777,-1.1755410432815552,-0.4531579911708832,-5.19063138961792,-0.2503727972507477,1.8507161140441895,0.16033723950386047,4.036281108856201,-0.015890909358859062,1.6749564409255981,0.2380203902721405,0.14813579618930817,-0.17751634120941162,0.7612642049789429,0.21764476597309113,0.5605608820915222,-0.3250308036804199,0.5745307803153992,0.04640407860279083,-0.8260473012924194,0.4923366606235504,-0.1829623579978943,0.5232079029083252,-0.3367694318294525,-3.417313575744629,-4.95089864730835,1.234824538230896,0.14415670931339264,-1.7487473487854004,-2.3650479316711426,-3.105894088745117,-3.516937732696533,-0.6662942171096802,0.45100441575050354,-2.3333523273468018,-2.265728712081909,0.7420094013214111,0.6267295,0.61894476
6,0.06946860998868942,4.443445682525635,-0.33942630887031555,-2.2207112312316895,0.1740269511938095,-1.3646453619003296,-0.35934266448020935,3.1998679637908936,-0.1060628890991211,-5.085063457489014,-0.49908798933029175,-2.693053960800171,-0.030690928921103477,-2.5166683197021484,-0.5150772929191589,-2.571812152862549,-0.45433807373046875,1.9950352907180786,-0.08966578543186188,-0.5093914866447449,-0.4021521806716919,-4.71935510635376,-0.3573676645755768,1.6391569375991821,-0.4792848825454712,5.555621147155762,0.19459035992622375,-1.946133017539978,-0.30297067761421204,-3.5245726108551025,0.039034124463796616,-1.628470778465271,0.19284756481647491,0.41472095251083374,0.170049786567688,-0.26597845554351807,0.18868020176887512,-0.3802294135093689,-0.22937002778053284,-1.1215605735778809,-0.2768004834651947,2.1026499271392822,-0.41603654623031616,-3.9724667072296143,-0.38489830493927,2.3270349502563477,-0.44220831990242004,0.6570246815681458,0.05377163365483284,-2.9154839515686035,-0.06618787348270416,5.560762882232666,-0.3790404498577118,2.6326911449432373,-0.2575019598007202,2.2503960132598877,-0.42365747690200806,3.1874539852142334,-0.21893104910850525,-2.2941033840179443,-0.034890059381723404,-0.08213023841381073,-0.2566673457622528,4.381719589233398,-0.16166181862354279,-1.37349534034729,-0.45825594663619995,-5.774203777313232,-0.27673470973968506,2.0321803092956543,0.12611792981624603,4.248450756072998,-0.03304452821612358,1.8348093032836914,0.2380782812833786,0.14577756822109222,-0.18540871143341064,0.7390651702880859,0.20668654143810272,0.5253306031227112,-0.33129674196243286,0.5972192287445068,0.04513230174779892,-0.9255428314208984,0.4322041869163513,-0.2404242604970932,0.5011742115020752,-0.2796976864337921,-3.6737172603607178,-5.6141133308410645,1.9451121091842651,-0.18949979543685913,-1.9399023056030273,-2.1379482746124268,-3.331822633743286,-3.8841121196746826,-0.6585670709609985,0.770720899105072,-2.4513156414031982,-2.2252063751220703,0.7905924916267395,0.6285244,0.6217217
7,0.04291018098592758,4.9482879638671875,-0.3572666347026825,-2.4206483364105225,0.16745822131633759,-1.5475499629974365,-0.3815682530403137,3.5823259353637695,-0.1095535010099411,-5.368470191955566,-0.515606164932251,-2.9246325492858887,-0.0289195217192173,-2.6477925777435303,-0.5214588642120361,-2.742969512939453,-0.47288161516189575,2.1011416912078857,-0.10951133072376251,-0.5784380435943604,-0.41183122992515564,-5.141260623931885,-0.38927996158599854,1.95646333694458,-0.5151753425598145,5.915393352508545,0.18394169211387634,-2.091590166091919,-0.3009808659553528,-3.742063045501709,0.029964355751872063,-1.8048961162567139,0.19238710403442383,0.43513980507850647,0.1635729968547821,-0.15702901780605316,0.17809826135635376,-0.3968236744403839,-0.2321726679801941,-1.2513331174850464,-0.28017768263816833,2.389786958694458,-0.4078899621963501,-4.3498854637146,-0.4081476628780365,2.519197463989258,-0.4657970368862152,0.8080463409423828,0.045817624777555466,-3.2496273517608643,-0.09628491848707199,5.8690409660339355,-0.39448559284210205,2.8204636573791504,-0.2764204442501068,2.3002679347991943,-0.4492691457271576,3.3623526096343994,-0.23909011483192444,-2.367835760116577,-0.05245428532361984,-0.10932999104261398,-0.28845179080963135,4.750407695770264,-0.16680487990379333,-1.50589120388031,-0.4629001319408417,-6.2015061378479,-0.29693514108657837,2.156219482421875,0.0962103009223938,4.425516128540039,-0.04489386826753616,1.9654837846755981,0.23822517693042755,0.14277034997940063,-0.19206368923187256,0.7234132885932922,0.19577234983444214,0.5003582835197449,-0.33748501539230347,0.6074112057685852,0.044385217130184174,-0.9920298457145691,0.38103678822517395,-0.30576664209365845,0.48069268465042114,-0.17395706474781036,-4.225709438323975,-6.621644020080566,2.8586413860321045,-0.18890228867530823,-2.321298837661743,-1.8691585063934326,-3.469470500946045,-4.501190662384033,-0.5903483629226685,1.2316895723342896,-2.6008806228637695,-2.128154993057251,0.8440478444099426,0.62847453,0.6214132
8,0.02416713535785675,5.3436431884765625,-0.36915138363838196,-2.563943386077881,0.16363680362701416,-1.703331470489502,-0.39733952283859253,3.9078898429870605,-0.10952652245759964,-5.576803684234619,-0.5289334058761597,-3.13423490524292,-0.02654573880136013,-2.7227389812469482,-0.522810697555542,-2.9190821647644043,-0.48311328887939453,2.1795573234558105,-0.12177462130784988,-0.6548665761947632,-0.41610151529312134,-5.478043556213379,-0.4137803316116333,2.218932867050171,-0.5415035486221313,6.177502632141113,0.17831286787986755,-2.2038919925689697,-0.2982201874256134,-3.904008150100708,0.02539156749844551,-1.9577616453170776,0.19166533648967743,0.45617854595184326,0.15920011699199677,-0.052225712686777115,0.1701257824897766,-0.41720640659332275,-0.23446710407733917,-1.3492966890335083,-0.2814980149269104,2.6321287155151367,-0.4004969596862793,-4.6849751472473145,-0.4268017113208771,2.6812682151794434,-0.48352834582328796,0.9612769484519958,0.04053859785199165,-3.527547836303711,-0.11837145686149597,6.119065284729004,-0.405104398727417,2.97571063041687,-0.29111364483833313,2.3198819160461426,-0.4684738218784332,3.5279617309570312,-0.25279587507247925,-2.4249894618988037,-0.06615931540727615,-0.12414366751909256,-0.3121999502182007,5.059900760650635,-0.17052918672561646,-1.5947632789611816,-0.465446799993515,-6.5334625244140625,-0.3120154142379761,2.244367837905884,0.0712723582983017,4.591940402984619,-0.05237220600247383,2.081547260284424,0.23816409707069397,0.14052696526050568,-0.1983194202184677,0.7145261764526367,0.1865023374557495,0.4701179563999176,-0.343396931886673,0.6340510845184326,0.04434279724955559,-1.0452017784118652,0.3453511893749237,-0.37004947662353516,0.45766302943229675,-0.05814302712678909,-5.064314842224121,-7.712586402893066,3.6930830478668213,-0.13794761896133423,-2.937394618988037,-1.6615232229232788,-3.5272576808929443,-5.153087615966797,-0.39308449625968933,1.5603594779968262,-2.8002734184265137,-1.981361746788025,0.8887937664985657,0.6268541,0.6198704
9,0.010325828567147255,5.652234077453613,-0.37589821219444275,-2.660475492477417,0.16192039847373962,-1.8453019857406616,-0.4084434509277344,4.173142910003662,-0.10631339997053146,-5.736043930053711,-0.5371751189231873,-3.3649322986602783,-0.024700764566659927,-2.761589288711548,-0.5204914212226868,-3.0997416973114014,-0.4884631931781769,2.2399110794067383,-0.12802620232105255,-0.7555614709854126,-0.41523006558418274,-5.733227729797363,-0.43092042207717896,2.381401300430298,-0.5615413188934326,6.403789520263672,0.17719244956970215,-2.2876551151275635,-0.2936180531978607,-4.0723724365234375,0.024401124566793442,-2.067854404449463,0.19082263112068176,0.4791601896286011,0.15690861642360687,0.0748414620757103,0.1655130684375763,-0.492512583732605,-0.23578931391239166,-1.4196500778198242,-0.28188562393188477,2.8230221271514893,-0.39458486437797546,-4.993669033050537,-0.4413471519947052,2.827019691467285,-0.497310608625412,1.1285699605941772,0.03712650015950203,-3.769346237182617,-0.1366778314113617,6.322628498077393,-0.4137118458747864,3.089362144470215,-0.30278611183166504,2.3404791355133057,-0.48367661237716675,3.6715309619903564,-0.2622315287590027,-2.444495916366577,-0.07685289531946182,-0.1568927764892578,-0.3313075602054596,5.33555793762207,-0.1734948754310608,-1.69172203540802,-0.46669408679008484,-6.788369655609131,-0.32527056336402893,2.3386313915252686,0.051128074526786804,4.764277458190918,-0.058436159044504166,2.2122910022735596,0.23801299929618835,0.13396114110946655,-0.20426549017429352,0.7093237638473511,0.17979958653450012,0.4357220232486725,-0.3490525186061859,0.6873511672019958,0.044763512909412384,-1.09933340549469,0.32198044657707214,-0.42212414741516113,0.42652931809425354,0.058226894587278366,-5.904116630554199,-8.679983139038086,4.313259601593018,-0.045587051659822464,-3.5818803310394287,-1.3720303773880005,-3.5455620288848877,-5.744851112365723,-0.23811371624469757,1.7112891674041748,-2.9068264961242676,-1.8663086891174316,0.9133180975914001,0.6246354,0.61925334
10,0.0012460333527997136,5.958944797515869,-0.3777744472026825,-2.7287447452545166,0.16143900156021118,-1.9664040803909302,-0.4170389473438263,4.4132843017578125,-0.09919507801532745,-5.8793253898620605,-0.5387811064720154,-3.57045316696167,-0.02327975444495678,-2.765486001968384,-0.5138635635375977,-3.266763687133789,-0.4901450276374817,2.3101766109466553,-0.12833234667778015,-0.8774998188018799,-0.40939292311668396,-5.914854049682617,-0.4401116371154785,2.4647696018218994,-0.5757870078086853,6.6345391273498535,0.18054047226905823,-2.3394124507904053,-0.2867406904697418,-4.259358882904053,0.02803994156420231,-2.1293933391571045,0.19009564816951752,0.5026192665100098,0.1564042568206787,0.18426498770713806,0.16456179320812225,-0.6016431450843811,-0.23587580025196075,-1.4924681186676025,-0.2817188799381256,2.962904930114746,-0.3889995515346527,-5.275732517242432,-0.450613796710968,2.9543888568878174,-0.5071895718574524,1.331756591796875,0.03694294020533562,-4.020010471343994,-0.1529066562652588,6.474616527557373,-0.4209573268890381,3.210869073867798,-0.3110502064228058,2.3628017902374268,-0.4938443899154663,3.7607688903808594,-0.26658111810684204,-2.4351553916931152,-0.08390726894140244,-0.2251911163330078,-0.34693223237991333,5.574187755584717,-0.17511887848377228,-1.7905857563018799,-0.46558475494384766,-6.994150161743164,-0.3371291160583496,2.38480806350708,0.03591553121805191,4.906675338745117,-0.06350692361593246,2.3668830394744873,0.23808294534683228,0.12282663583755493,-0.20852713286876678,0.6605721712112427,0.17670166492462158,0.3681311011314392,-0.3541104793548584,0.7362181544303894,0.04509759321808815,-1.1543347835540771,0.3105204105377197,-0.4461512267589569,0.3866305351257324,0.17712734639644623,-6.615285873413086,-9.481544494628906,4.785302639007568,0.007935267873108387,-4.099981784820557,-1.1598423719406128,-3.5503737926483154,-6.24538516998291,-0.17663176357746124,1.6976308822631836,-2.893794536590576,-1.8206474781036377,0.9084464907646179,0.6231895,0.6152422
11,-0.003912810701876879,6.23793363571167,-0.3746703565120697,-2.7712910175323486,0.1635587513446808,-2.06833815574646,-0.422521710395813,4.651178359985352,-0.08661839365959167,-6.052454948425293,-0.5328395962715149,-3.7143123149871826,-0.02080623060464859,-2.7628040313720703,-0.5023271441459656,-3.4001166820526123,-0.486473023891449,2.3548803329467773,-0.12346478551626205,-0.9987607598304749,-0.39913666248321533,-6.068349361419678,-0.4411175549030304,2.551003932952881,-0.5836622714996338,6.854513168334961,0.18967144191265106,-2.3994674682617188,-0.277463436126709,-4.434642314910889,0.03687555342912674,-2.223559856414795,0.18948467075824738,0.5282828211784363,0.1573827862739563,0.27230146527290344,0.16695824265480042,-0.6865496635437012,-0.23462259769439697,-1.5643310546875,-0.2811128497123718,3.0629630088806152,-0.3817014992237091,-5.514794826507568,-0.4542517066001892,3.0882718563079834,-0.5124185681343079,1.5106395483016968,0.041317619383335114,-4.2795329093933105,-0.16699859499931335,6.600804328918457,-0.4255443215370178,3.3384149074554443,-0.3164025843143463,2.393854856491089,-0.49839848279953003,3.8050954341888428,-0.2640689015388489,-2.4152255058288574,-0.08729840815067291,-0.3084676265716553,-0.35909411311149597,5.786076068878174,-0.17325074970722198,-1.8806487321853638,-0.4598333537578583,-7.1892313957214355,-0.3467480540275574,2.454979419708252,0.023861151188611984,5.066633701324463,-0.06643983721733093,2.5203568935394287,0.23841270804405212,0.1097031682729721,-0.2108195573091507,0.6167504191398621,0.17659474909305573,0.3170640766620636,-0.35750308632850647,0.7646122574806213,0.04540162533521652,-1.2042677402496338,0.3130013346672058,-0.4490506947040558,0.34607863426208496,0.2911622226238251,-7.1828107833862305,-10.132169723510742,5.157305717468262,0.0061339219100773335,-4.4600958824157715,-1.0552409887313843,-3.554048776626587,-6.64142370223999,-0.1495058387517929,1.6063523292541504,-2.8212265968322754,-1.8042547702789307,0.8889591693878174,0.6232144,0.6143166
12,-0.00620487704873085,6.490060329437256,-0.36704733967781067,-2.822868585586548,0.16828255355358124,-2.168452262878418,-0.42547139525413513,4.857719898223877,-0.06804230809211731,-6.214721202850342,-0.5191212296485901,-3.8179001808166504,-0.01683092676103115,-2.764631986618042,-0.48576560616493225,-3.4989030361175537,-0.47769400477409363,2.388359308242798,-0.11418341100215912,-1.1137640476226807,-0.3843631148338318,-6.209692001342773,-0.4344205856323242,2.636610984802246,-0.5862647891044617,7.059004306793213,0.20471473038196564,-2.4580178260803223,-0.2654620409011841,-4.581231117248535,0.050558481365442276,-2.3233609199523926,0.1889776885509491,0.5554041862487793,0.15967319905757904,0.3436315655708313,0.17230969667434692,-0.7443905472755432,-0.23202402889728546,-1.6349396705627441,-0.28008130192756653,3.1409833431243896,-0.3721933364868164,-5.738908290863037,-0.4528784155845642,3.2100133895874023,-0.5137076377868652,1.6737152338027954,0.04997100681066513,-4.525268077850342,-0.18019768595695496,6.736824035644531,-0.42791470885276794,3.456859827041626,-0.31942516565322876,2.4380083084106445,-0.49837225675582886,3.8328442573547363,-0.2548404335975647,-2.406994581222534,-0.08773263543844223,-0.39428988099098206,-0.36882445216178894,5.9835944175720215,-0.16794312000274658,-1.968927025794983,-0.4491909146308899,-7.3748393058776855,-0.35466328263282776,2.530515432357788,0.013795239850878716,5.238428592681885,-0.06754976511001587,2.6518499851226807,0.23901022970676422,0.09553302824497223,-0.2116347849369049,0.5831178426742554,0.17899133265018463,0.2948140799999237,-0.35946181416511536,0.7926419973373413,0.04572693631052971,-1.2483329772949219,0.3285056948661804,-0.4488392174243927,0.3031317889690399,0.405352383852005,-7.636571407318115,-10.667920112609863,5.460607528686523,-0.027839295566082,-4.717240810394287,-1.0122953653335571,-3.5585203170776367,-6.959610939025879,-0.12728111445903778,1.5316853523254395,-2.73616886138916,-1.7993524074554443,0.8747726082801819,0.6229901,0.6158593
